,RegionID,SizeRank,RegionName,RegionType,StateName,31-01-2018,28-02-2018,31-03-2018,30-04-2018,31-05-2018,30-06-2018,31-07-2018,31-08-2018,30-09-2018,31-10-2018,30-11-2018,31-12-2018,31-01-2019,28-02-2019,31-03-2019,30-04-2019,31-05-2019,30-06-2019,31-07-2019,31-08-2019,30-09-2019,31-10-2019,30-11-2019,31-12-2019,31-01-2020,29-02-2020,31-03-2020,30-04-2020,31-05-2020,30-06-2020,31-07-2020,31-08-2020,30-09-2020,31-10-2020,30-11-2020,31-12-2020,31-01-2021,28-02-2021,31-03-2021,30-04-2021,31-05-2021,30-06-2021,31-07-2021,31-08-2021,30-09-2021,31-10-2021,30-11-2021,31-12-2021
20,394358,20,"Baltimore, MD",Msa,MD,303233.0,299900.0,304933.0,313300.0,326633.0,337967.0,345967.0,345967.0,341467,335130,328497,319997,313333,311667,316667,327699,339366,347699,350000,349967,346600,341600,334633,327967,322933,323233,329933,339443,347810,356143,363300,364967,361633.0,355000.0,348300.0,341300.0,334300.0,334333.0,339666.0,348300.0,356933.0,360267.0,361933.0,356630.0,352963.0,342997.0,334633.0,323300.0
21,394530,21,"Denver, CO",Msa,CO,322333.0,322333.0,322333.0,322333.0,322333.0,322333.0,322333.0,322333.0,494667,487667,481000,477833,482333,493967,509133,519967,524967,523453,518453,510120,502967,497967,497967,501300,512376,529043,542709,545633,542333,542815,549148,552482,546938.0,534938.0,524938.0,525000.0,531667.0,543610.0,556910.0,575077.0,591467.0,605167.0,613333.0,616833.0,618167.0,620167.0,624967.0,634633.0
22,394982,22,"Pittsburgh, PA",Msa,PA,171567.0,169900.0,173233.0,177267.0,183133.0,184833.0,184133.0,181600.0,179900,178267,175933,172633,170933,170933,175267,181933,189300,194800,198133,199467,198867,195533,190867,184967,183300,185800,192433,197433,204900,214900,227600,233967,234000.0,232967.0,231600.0,229933.0,228267.0,229967.0,234698.0,241381.0,246348.0,246583.0,238900.0,228933.0,222267.0,218300.0,213300.0,206633.0
23,394998,23,"Portland, OR",Msa,OR,459002.0,465399.0,471797.0,478163.0,479762.0,479762.0,476563.0,470134.0,462137,455739,452540,450941,452540,455739,462137,466967,470198,470230,468598,465384,460585,456939,453756,453756,456315,464312,470710,470214,470214,471813,482924,487483,492249.0,494125.0,502359.0,511955.0,520440.0,525772.0,534767.0,551433.0,573300.0,588333.0,592900.0,586233.0,579567.0,572667.0,570667.0,570317.0
24,394458,24,"Charlotte, NC",Msa,NC,338133.0,338167.0,343000.0,349666.0,356266.0,358600.0,355583.0,349028.0,342028,335378,330983,327283,325617,328300,335000,343333,351633,356300,356300,352333,346967,344300,341633,342166,342903,346237,351070,352967,357592,362925,374125,379540,381540.0,378707.0,377000.0,375000.0,374967.0,376633.0,383207.0,394907.0,407907.0,414967.0,414967.0,408853.0,406053.0,408213.0,411323.0,408837.0
25,395045,25,"Sacramento, CA",Msa,CA,462983.0,468667.0,477000.0,485967.0,491967.0,492300.0,487000.0,480333.0,472967,466300,459633,456333,458333,466333,481000,492665,504665,513332,521633,522967,517963,509663,503326,504996,511330,521000,527667,528000,528000,529543,539270,547936,559723.0,568330.0,579663.0,586333.0,594333.0,596333.0,593000.0,601667.0,611667.0,625000.0,625000.0,619967.0,614967.0,613300.0,616333.0,624667.0
26,395055,26,"San Antonio, TX",Msa,TX,279966.0,280000.0,283000.0,288500.0,294833.0,298167.0,297667.0,293500.0,288467,283467,281444,280811,280811,280633,281633,284967,290000,293167,293133,289800,286600,283297,281297,278996,278633,278966,282633,286167,290167,293800,297300,299933,299633.0,297967.0,294633.0,290933.0,288567.0,289267.0,293067.0,298765.0,303762.0,312328.0,327163.0,341163.0,347830.0,346080.0,342917.0,343355.0
27,394943,27,"Orlando, FL",Msa,FL,299900.0,302933.0,309300.0,317667.0,323000.0,325000.0,324967.0,323267.0,319933,314933,308300,303267,299933,299933,303467,310167,318500,323333,325000,325000,325627,325627,325627,325000,324967,326600,328410,325440,322140,320533,325203,328537,330867.0,332501.0,332501.0,331630.0,328330.0,326663.0,328333.0,335000.0,343333.0,354967.0,366153.0,377487.0,383853.0,390667.0,394333.0,397667.0
28,394466,28,"Cincinnati, OH",Msa,OH,218300.0,219967.0,231600.0,248267.0,261600.0,267633.0,265967.0,259300.0,251633,244967,241333,236300,232967,236633,249967,266300,279467,285833,287833,284333,278567,271900,265567,261333,261300,269633,283267,296300,309633,322967,333300,334633,327688.0,319354.0,309688.0,305833.0,305800.0,314100.0,323930.0,337297.0,350130.0,354433.0,349067.0,336233.0,324600.0,316633.0,310300.0,306967.0
29,394475,29,"Cleveland, OH",Msa,OH,161567.0,161567.0,164900.0,171267.0,176267.0,181300.0,183300.0,183300.0,181600,179900,178267,176600,174933,176567,179932,185402,191936,196904,199467,196267,192933,188267,184933,181600,179900,180233,185267,191633,201300,209600,218267,221133,214467.0,206100.0,196567.0,191600.0,188300.0,194958.0,208592.0,225225.0,233600.0,233300.0,226333.0,214667.0,206000.0,196300.0,192933.0,187100.0
30,394735,30,"Kansas City, MO",Msa,MO,254933.0,259967.0,269633.0,274633.0,277518.0,276185.0,275352.0,272467.0,272800,280300,286967,293300,296600,306633,319950,331317,337950,336297,329962,319962,312965,307967,304667,301667,306333,316333,332667,342667,352667,359633,364933,361600,353300.0,343983.0,338983.0,335633.0,336617.0,346950.0,361950.0,377950.0,383683.0,380033.0,367400.0,353000.0,345000.0,344967.0,348300.0,356600.0
